PROBE_DESIGN_ID	HITS_OREO_ILLUMINA
572981_0222_0032	1
572981_0378_0392	1
572981_0451_0543	1
572981_0323_0097	1
572981_0018_0024	1
572981_0075_0087	1
572981_0311_0281	1
572981_0306_0544	1
572981_0248_0352	1
572981_0193_0529	1
572981_0306_0546	1
572981_0446_0248	1
572981_0213_0411	1
572981_0406_0196	1
572981_0164_0120	1
572981_0219_0331	1
572981_0250_0186	1
572981_0113_0283	1
572981_0165_0617	1
572981_0297_0455	1
572981_0219_0093	1
572981_0014_0334	1
572981_0357_0069	1
572981_0307_0253	1
572981_0114_0442	1
572981_0223_0473	1
572981_0424_0494	1
572981_0328_0414	1
572981_0014_0184	1
572981_0099_0025	1
572981_0222_0050	1
572981_0173_0419	1
572981_0348_0590	2
572981_0123_0515	1
572981_0311_0565	1
572981_0339_0423	1
572981_0164_0036	1
572981_0456_0598	1
572981_0107_0489	1
572981_0276_0486	1
572981_0366_0338	1
572981_0178_0500	1
572981_0313_0223	1
572981_0310_0184	1
572981_0119_0015	1
572981_0444_0354	2
572981_0415_0039	1
572981_0188_0356	1
572981_0008_0534	1
572981_0177_0507	1
572981_0361_0585	1
572981_0008_0408	1
572981_0300_0388	1
572981_0373_0617	1
572981_0302_0368	1
572981_0034_0122	1
572981_0272_0446	1
572981_0150_0270	1
572981_0300_0128	1
572981_0349_0253	1
572981_0294_0350	1
572981_0313_0259	1
572981_0275_0363	1
572981_0074_0208	1
572981_0017_0147	1
572981_0220_0108	1
572981_0065_0059	1
572981_0444_0262	1
572981_0199_0533	1
572981_0004_0144	1
572981_0142_0612	1
572981_0296_0060	1
572981_0017_0217	1
572981_0292_0556	1
572981_0366_0064	1
572981_0036_0554	1
572981_0149_0313	3
572981_0071_0419	3
572981_0122_0538	3
572981_0039_0595	3
572981_0343_0577	6
572981_0439_0075	1
572981_0457_0317	2
572981_0025_0309	2
572981_0264_0570	2
572981_0005_0189	2
572981_0156_0164	1
572981_0457_0333	1
572981_0180_0268	2
572981_0425_0531	2
572981_0451_0507	1
572981_0061_0351	1
572981_0422_0146	1
572981_0214_0104	1
572981_0425_0145	1
572981_0312_0038	1
572981_0178_0470	1
572981_0212_0538	1
572981_0113_0205	1
572981_0213_0027	1
572981_0005_0237	4
572981_0092_0122	1
572981_0058_0106	1
572981_0074_0536	1
572981_0128_0264	1
572981_0333_0315	1
572981_0140_0362	1
572981_0413_0111	1
572981_0245_0421	1
572981_0058_0194	1
572981_0159_0137	1
572981_0206_0242	1
572981_0328_0480	1
572981_0307_0101	1
572981_0340_0506	1
572981_0426_0604	1
572981_0241_0239	1
572981_0203_0035	1
572981_0113_0299	1
572981_0076_0088	1
572981_0255_0185	1
572981_0116_0014	1
572981_0106_0028	1
572981_0233_0429	1
572981_0065_0505	1
572981_0184_0624	1
572981_0291_0243	1
572981_0419_0305	1
572981_0348_0386	1
572981_0440_0358	1
572981_0111_0281	1
572981_0405_0169	1
572981_0149_0347	1
572981_0356_0364	1
572981_0317_0115	1
572981_0383_0551	1
572981_0257_0401	1
572981_0386_0074	1
572981_0268_0394	1
572981_0320_0328	1
572981_0275_0375	1
572981_0114_0156	1
572981_0034_0512	1
572981_0290_0402	1
572981_0050_0418	1
572981_0041_0279	1
572981_0423_0347	1
572981_0050_0350	1
572981_0425_0557	1
572981_0367_0391	1
572981_0443_0189	1
572981_0078_0522	1
572981_0270_0610	1
572981_0428_0436	1
572981_0064_0604	1
572981_0101_0251	1
572981_0399_0095	1
572981_0213_0169	1
572981_0128_0150	1
572981_0291_0115	1
572981_0005_0515	1
572981_0070_0114	1
572981_0078_0020	1
572981_0385_0397	1
572981_0155_0215	1
572981_0447_0577	1
572981_0450_0294	1
572981_0334_0358	1
572981_0232_0492	1
572981_0211_0271	1
572981_0272_0316	1
572981_0053_0633	1
572981_0143_0387	2
572981_0187_0283	1
572981_0426_0052	1
572981_0112_0156	2
572981_0356_0244	1
572981_0187_0429	1
572981_0457_0243	1
572981_0195_0023	1
572981_0429_0273	1
572981_0146_0294	1
572981_0158_0452	1
572981_0418_0094	1
572981_0402_0338	1
572981_0411_0281	1
572981_0038_0112	1
572981_0324_0396	1
572981_0228_0248	1
572981_0441_0199	1
572981_0029_0551	1
572981_0308_0228	1
572981_0095_0035	2
572981_0346_0504	2
572981_0424_0048	1
572981_0272_0564	1
