PROBE_DESIGN_ID	HITS_OREO_ILLUMINA
572981_0408_0520	1
572981_0088_0464	1
572981_0340_0430	1
572981_0305_0209	2
572981_0039_0425	1
572981_0325_0355	1
572981_0027_0589	2
572981_0289_0509	1
572981_0335_0059	2
572981_0178_0564	1
572981_0252_0320	1
572981_0079_0173	1
572981_0252_0156	1
572981_0136_0478	1
572981_0153_0281	1
572981_0213_0133	1
572981_0231_0165	1
572981_0343_0329	1
572981_0395_0605	1
572981_0083_0263	1
572981_0230_0334	1
572981_0349_0363	1
572981_0167_0175	1
572981_0340_0034	1
572981_0085_0591	1
572981_0442_0234	1
572981_0261_0459	1
572981_0013_0307	1
572981_0201_0447	1
572981_0276_0028	1
572981_0060_0418	1
572981_0419_0063	1
572981_0215_0193	1
572981_0187_0249	1
572981_0316_0426	1
572981_0142_0250	1
572981_0416_0622	1
572981_0419_0173	1
572981_0109_0081	1
572981_0367_0255	1
572981_0114_0220	1
572981_0403_0069	1
572981_0348_0028	1
572981_0334_0506	1
572981_0113_0485	1
572981_0203_0173	1
572981_0186_0256	1
572981_0177_0633	1
572981_0162_0630	1
572981_0417_0359	1
572981_0360_0432	1
572981_0384_0286	1
572981_0084_0104	1
572981_0430_0374	1
572981_0396_0224	1
572981_0354_0262	1
572981_0130_0524	1
572981_0127_0499	1
572981_0073_0397	1
572981_0132_0114	1
572981_0015_0321	1
572981_0431_0213	1
572981_0404_0064	1
572981_0050_0052	1
572981_0442_0426	1
572981_0163_0615	1
572981_0160_0362	1
572981_0109_0195	1
572981_0261_0197	1
572981_0185_0493	1
572981_0386_0056	1
572981_0213_0149	1
572981_0307_0049	1
572981_0337_0379	1
572981_0440_0330	1
572981_0412_0088	1
572981_0006_0258	1
572981_0375_0365	1
572981_0340_0078	1
572981_0270_0490	1
572981_0410_0212	1
572981_0192_0152	1
572981_0409_0175	1
572981_0253_0019	1
572981_0011_0263	1
572981_0035_0081	1
572981_0330_0484	1
572981_0057_0601	1
572981_0406_0546	1
572981_0329_0225	1
572981_0103_0217	1
572981_0371_0057	1
572981_0073_0569	1
572981_0334_0566	1
572981_0172_0184	1
572981_0169_0255	1
572981_0334_0104	1
572981_0022_0254	1
572981_0087_0459	1
572981_0238_0178	1
572981_0200_0532	1
572981_0320_0426	1
572981_0412_0092	1
572981_0042_0344	1
572981_0290_0068	1
572981_0018_0018	1
572981_0223_0095	1
572981_0010_0036	1
572981_0363_0151	1
572981_0260_0604	1
572981_0146_0054	1
572981_0183_0627	1
572981_0168_0186	1
572981_0084_0206	1
572981_0373_0209	1
572981_0127_0081	1
572981_0241_0493	1
572981_0396_0498	1
572981_0436_0560	1
572981_0044_0196	1
572981_0104_0356	1
572981_0132_0532	1
572981_0324_0624	1
572981_0289_0011	1
572981_0074_0376	1
572981_0383_0239	1
572981_0007_0035	1
